time,X,Y,Z
11.32,1.4062552466702056,-0.00021731646880313675,-80.1845476439443
11.36,1.4353797169187181,-0.00022626673120996866,-80.18539490529623
11.41,1.464527015195514,-0.00023541640346628107,-80.18624215783848
11.46,1.4936955016566515,-0.0002447656421881088,-80.18708940196431
11.51,1.5228836730241748,-0.0002543145958100313,-80.18793663804674
11.56,1.5520901382695858,-0.0002640633984739243,-80.18878386643034
11.61,1.5813136066180467,-0.0002740121684841437,-80.18963108743662
11.66,1.6105528790934776,-0.0002841610124219576,-80.19047830136981
11.71,1.6398068415384592,-0.00029451002601768854,-80.19132550851619
11.76,1.6690744584441022,-0.00030505929167357385,-80.19217270914125
11.81,1.698354767333944,-0.0003158088802783445,-80.19301990349193
11.86,1.7276468735885437,-0.00032675885487374587,-80.19386709180088
11.91,1.756949945651928,-0.00033790927035306167,-80.19471427428643
11.96,1.7862632105826377,-0.0003492601723165224,-80.195561451151
12.01,1.8155859499208822,-0.00036081159899646094,-80.1964086225832
12.06,1.8449174958477732,-0.0003725635832096911,-80.19725578876024
12.11,1.874257227615626,-0.0003845161519067752,-80.19810294984785
12.15,1.903604568230126,-0.0003966693259575499,-80.1989501059998
12.21,1.9329589813663945,-0.0004090231215775009,-80.19979725735948
12.26,1.962319968502353,-0.00042157755126243806,-80.20064440406134
12.31,1.991687066254167,-0.00043433262351220384,-80.20149154623077
12.35,2.0210598438995664,-0.00044728834300458904,-80.20233868398424
12.41,2.0504379010757114,-0.0004604447115212434,-80.2031858174304
12.46,2.0798208656392823,-0.00047380172838127255,-80.20403294667089
12.51,2.1092083916774174,-0.00048735939033499857,-80.20488007180036
12.56,2.1386001576588853,-0.0005011176918328015,-80.20572719290679
12.61,2.1679958647155444,-0.0005150766255862176,-80.20657431007224
12.66,2.1973952350449206,-0.0005292361827716444,-80.20742142337338
12.7,2.226798010425392,-0.0005435963530260732,-80.20826853288146
12.76,2.2562039508360443,-0.0005581571246902627,-80.20911563866284
12.81,2.2856128331737877,-0.0005729184851341521,-80.20996274077935
12.86,2.3150244500608963,-0.0005878804208584174,-80.21080983928861
12.91,2.344438608736608,-0.0006030429175349304,-80.21165693424427
12.96,2.3738551300268482,-0.0006184059601895653,-80.21250402569622
13.01,2.4032738473865702,-0.000633969533384863,-80.21335111369092
13.06,2.4326946060095924,-0.0006497336212756243,-80.2141981982717
13.11,2.462117262001184,-0.0006656982076594848,-80.21504527947882
13.16,2.4915416816089726,-0.0006818632761005297,-80.21589235734973
13.21,2.520967740508057,-0.0006982288100288202,-80.21673943191932
13.26,2.5503953231365064,-0.00071479479277342,-80.21758650322006
13.31,2.5798243220777057,-0.0007315612076064482,-80.21843357128215
13.36,2.6092546374862304,-0.000748528037820173,-80.21928063613369
13.41,2.6386861765541867,-0.0007656952667792098,-80.22012769780079
13.46,2.6681188530151734,-0.0007830628779405448,-80.22097475630778
13.51,2.6975525866832006,-0.0008006308548854596,-80.22182181167727
13.56,2.726987303024113,-0.0008183991813638467,-80.22266886393031
13.61,2.756422932757218,-0.0008363678413197403,-80.22351591308644
13.66,2.785859411484992,-0.000854536818902587,-80.22436295916387
13.71,2.8152966793488936,-0.0008729060984870566,-80.22521000217951
13.76,2.8447346807094296,-0.0008914756646958146,-80.22605704214908
13.81,2.8741733638487736,-0.000910245502410056,-80.2269040790872
13.86,2.9036126806943483,-0.0009292155967744091,-80.22775111300749
13.91,2.9330525865618884,-0.0009483859332069154,-80.22859814392254
13.96,2.9624930399166147,-0.0009677564974083655,-80.22944517184413
14.01,2.9919340021512424,-0.0009873272753644037,-80.23029219678318
14.06,3.021375437379635,-0.0010070982533458119,-80.23113921874983
14.11,3.0508173122450026,-0.0010270694179114195,-80.23198623775353
14.16,3.080259595741623,-0.001047240755909456,-80.23283325380304
14.21,3.1097022590491252,-0.0010676122544749681,-80.2336802669065
14.26,3.139145275378452,-0.0010881839010269203,-80.23452727707148
14.31,3.1685886198286854,-0.0011089556832664838,-80.23537428430502
14.36,3.1980322692539582,-0.0011299275891739147,-80.23622128861365
14.41,3.227476202139751,-0.001151099607003465,-80.23706829000344
14.46,3.2569203984879045,-0.0011724717252784773,-80.23791528848004
14.51,3.2863648397097402,-0.0011940439327869465,-80.23876228404868
14.56,3.3158095085267103,-0.0012158162185761032,-80.23960927671422
14.61,3.345254389184668,-0.001237788572199701,-80.2404562664812
14.66,3.374699466825963,-0.0012599609832656365,-80.2413032533538
14.71,3.404144727281476,-0.0012823334413123054,-80.24215023733593
14.76,3.433590157561801,-0.0013049059362981632,-80.24299721843124
14.81,3.463035745647309,-0.0013276784584571376,-80.24384419664307
14.86,3.4924814803845425,-0.001350650998235846,-80.2446911719745
14.91,3.5219273514131753,-0.0013738235463178366,-80.24553814442845
14.96,3.551373349105707,-0.0013971960936197654,-80.24638511400767
15.01,3.5808194645141507,-0.0014207686312428395,-80.24723208071464
15.06,3.6102656893215137,-0.0014445411504694858,-80.24807904455164
15.11,3.639712015797081,-0.0014685136427887448,-80.24892600552087
15.16,3.669158436754998,-0.0014926860998811838,-80.24977296362434
15.21,3.698604945515832,-0.001517058513589748,-80.25061991886389
15.26,3.7280515358708666,-0.001541630875923955,-80.25146687124125
15.31,3.7574982020489145,-0.0015664031790694891,-80.25231382075803
15.36,3.786944938685478,-0.001591375415372515,-80.25316076741572
15.41,3.816391740794081,-0.0016165475773240057,-80.25400771121569
15.46,3.8458386037396277,-0.001641919657562847,-80.25485465215924
15.51,3.875285523213631,-0.0016674916488765537,-80.25570159024755
15.56,3.9047324952111926,-0.001693263544188892,-80.25654852548173
15.61,3.934179516009606,-0.0017192353365512955,-80.25739545786281
15.66,3.963626582148466,-0.0017454070191435709,-80.25824238739176
15.71,3.9930736904111774,-0.0017717785852708777,-80.25908931406943
15.76,4.0225208378077735,-0.001798350028354732,-80.25993623789667
15.81,4.05196802155894,-0.001825121341927785,-80.26078315887425
15.86,4.081415239081168,-0.0018520925196327184,-80.26163007700285
15.91,4.110862487972952,-0.0018792635552181323,-80.26247699228315
15.96,4.1403097660019625,-0.0019066344425321038,-80.26332390471578
16.01,4.169757071093121,-0.0019342051755185047,-80.26417081430127
16.06,4.199204401317518,-0.001961975748214908,-80.26501772104017
16.11,4.228651754882104,-0.001989946154748542,-80.26586462493299
16.16,4.258099130120119,-0.0020181163893315934,-80.26671152598016
16.21,4.287546525482191,-0.002046486446258261,-80.26755842418213
16.26,4.316993939528059,-0.0020750563199022926,-80.26840531953926
16.31,4.346441370918886,-0.0021038260047134194,-80.26925221205194
16.36,4.375888818410106,-0.002132795495213812,-80.27009910172052
16.41,4.405336280844781,-0.0021619647859955553,-80.27094598854532
16.46,4.434783757147429,-0.0021913338717181844,-80.27179287252666
16.51,4.4642312463182705,-0.0022209027471056866,-80.27263975366479
16.56,4.493678747427907,-0.0022506714069437227,-80.27348663195995
16.61,4.523126259612352,-0.002280639846077408,-80.27433350741242
16.66,4.5525737820684204,-0.0023108080594090464,-80.27518038002242
16.71,4.582021314049447,-0.0023411760418956444,-80.27602724979013
16.76,4.611468854861297,-0.0023717437885466654,-80.27687411671579
16.8,4.640916403858668,-0.00240251129442208,-80.27772098079957
16.86,4.670363960441649,-0.002433478554630366,-80.27856784204164
16.91,4.699811524052517,-0.002464645564326459,-80.27941470044215
16.96,4.729259094172765,-0.002496012318709895,-80.28026155600126
17.0,4.758706670320335,-0.002527578813023113,-80.28110840871915
17.05,4.788154252047058,-0.002559345042549734,-80.28195525859591
17.11,4.817601838936255,-0.002591311002612858,-80.2828021056317
17.16,4.847049430600522,-0.0026234766885735177,-80.28364894982661
17.21,4.876497026679665,-0.002655842095829207,-80.28449579118077
17.26,4.905944626838786,-0.002688407219812419,-80.28534262969428
17.31,4.935392230766497,-0.0027211720559892345,-80.28618946536726
17.36,4.964839838173259,-0.00275413659985801,-80.28703629819981
17.41,4.994287448789852,-0.0027873008469481214,-80.287883128192
17.46,5.023735062365934,-0.0028206647928187296,-80.28872995534391
17.51,5.053182678668712,-0.0028542284330576014,-80.28957677965565
17.56,5.082630297481707,-0.0028879917632799977,-80.29042360112726
17.61,5.112077918603605,-0.0029219547791276062,-80.29127041975887
17.66,5.141525541847186,-0.0029561174762674962,-80.29211723555053
17.71,5.170973167038333,-0.0029904798503911268,-80.29296404850233
17.76,5.200420794015103,-0.0030250418972134147,-80.29381085861431
17.81,5.229868422626874,-0.003059803612471822,-80.29465766588655
17.86,5.259316052733545,-0.0030947649919254748,-80.29550447031912
17.91,5.288763684204797,-0.003129926031354334,-80.29635127191206
17.96,5.318211316919401,-0.0031652867265583957,-80.29719807066544
18.01,5.347658950764576,-0.0032008470733569223,-80.29804486657933
18.06,5.3771065856353975,-0.0032366070675877026,-80.29889165965378
18.11,5.406554221434241,-0.0032725667051063476,-80.29973844988885
18.16,5.436001858070267,-0.0033087259817856144,-80.30058523728458
18.21,5.465449495458946,-0.0033450848935147525,-80.30143202184102
18.26,5.49489713352161,-0.003381643436198878,-80.30227880355824
18.31,5.52434477218504,-0.0034184016057583777,-80.30312558243628
18.36,5.5537924113810835,-0.0034553593981283383,-80.3039723584752
18.41,5.583240051046301,-0.0034925168092579894,-80.30481913167506
18.46,5.612687691121624,-0.003529873835110177,-80.30566590203591
18.51,5.642135331552057,-0.003567430471660855,-80.30651266955778
18.56,5.671582972286381,-0.003605186714898598,-80.3073594342407
18.61,5.701030613276895,-0.003643142560824134,-80.30820619608474
18.66,5.730478254479168,-0.003681298005449894,-80.30905295508994
18.71,5.759925895851801,-0.003719653044799582,-80.30989971125636
18.76,5.78937353735622,-0.0037582076749077577,-80.31074646458404
